problem_no,sub_id,stem,correct,explanation
101-25-1,1,企業の資金調達には、企業が金融資産を売り出す、という見方もできる。,TRUE,解説の要点：資金調達とは企業がその金融資産を売り出すことであり、その後の財務的な活動も含まれる
101-25-1,2,企業の価値向上のための原則では、株主が企業の外に持っている投資機会が企業の内部で実施する投資の基準になる。,TRUE,この理解で合っています。企業の価値向上のための原則では、株主が企業の外に持っている投資機会が企業の内部で実施する投資の基準になる。
101-25-1,3,要点確認：他の資産に比べて、オンバランス不動産の資産の効率性 （回転率）は高いが、そのマージン（税引き後営業利益率）は非常に低い、という傾向がある。,FALSE,解説の要点：オンバランス不動産の資産の効率性（回転率）は非常に低く、そのマージン（税引き後営業利益率）は非常に高い
101-25-1,4,現在日本では、不動産証券化は企業の資金調達のためだけを目的として実施される。,FALSE,解説の要点：企業価値を向上するための戦略的な経営の重要な手法として、 少なからぬ日本企業に採用されている
101-25-1,5,ダイベストメント （divestment）は、投資（investment）と同じく拡大型企業戦略といえる。,FALSE,解説の要点：ダイベストメント（divestment)は投資（investment)とは逆の縮小型企業戦略である
101-25-2,1,要点確認：不動産証券化商品の中には金融商品取引法で定める有価証券ではないものが存在する。,FALSE,投資証券、受益証券、ここでの優先出資証券はすべて有価証券である証券化商品に含まれる「信託の受益権」および「集団投資スキーム持分」なども、金融商品取引法上では有価証券として扱われる
101-25-2,2,有価証券に化体された不動産とオンバランス不動産は同義といえる。,FALSE,解説の要点：有価証券に化体された不動産は、不動産の価値やキャッシュフローを有価証券の形に変えたものです。企業が貸借対照表上で保有するオンバランス不動産とは異なります。
101-25-2,3,要点確認：不動産ファンドと不動産証券化のためのvehicleは同じものではない。,FALSE,不動産証券化のための特別法人（vehicle）は「不動産ファンド」という名称で知られる
101-25-2,4,単一の資産も証券化の対象になる、と説明されている。,FALSE,解説の要点：101科目では、不動産証券化の対象を複数資産のプールとして説明しており、単一資産も対象になるという記述は誤りです。
101-25-2,5,要点確認：証券化ではオリジネータ自身が原資産を裏付けとする有価証券を発行することもある。,FALSE,解説の要点：証券化では、原資産をオリジネーターから切り離し、特別法人（ヴィークル）が証券を発行するのが基本です。
101-25-3,1,"半期の営業利益50億円、総資産2,000億円、年間の経済的利益40億円であるモデル不動産ファンドの資本コスト（WACC）は3%といえる。",TRUE,"年間営業利益は100億円です。経済的利益40億円＝年間営業利益100億円－資本コスト×総資産2,000億円なので、WACCは3%です。"
103-25-4,1,不動産投資とは、投資対象になる不動産を購入し、それを賃貸したり、売却することによって利益を得る方法といえる。,TRUE,この理解で合っています。不動産投資とは、投資対象になる不動産を購入し、それを賃貸したり、売却することによって利益を得る方法です。
103-25-4,2,要点確認：リーマンショック後はインカムゲインよりキャピタルゲインを狙うオポチュニスティックな投資が選好されてきている。,FALSE,解説の要点：リーマンショック後はインカムゲインがより重視されてきている
